PHR_SK,PHR_ID,PHR_NM,PHR_CHAIN_NM,ADDRESS,CITY,STATE_CD,ZIP_CD,PHR_TYPE,NPI,NCPDP_ID,PHONE,IS_SPECIALTY,IS_MAIL_ORDER,ACTV_FLG
4185,PHR004185,Walmart #1378,Walmart,1331 Maple St,Rockford,MO,61215,RETAIL,1602672650,7460238,(392) 599-2712,N,N,Y
4186,PHR004186,Meijer #9775,Meijer,8744 Elm Ave,Champaign,MO,63523,MAIL_ORDER,1213452068,3182053,(424) 472-7317,N,N,Y
4187,PHR004187,Safeway #8512,Safeway,3426 Maple St,Naperville,TN,65552,RETAIL,1836872507,6153067,(791) 763-2672,N,N,Y
4188,PHR004188,Rite Aid #1855,Rite Aid,1905 Oak St,Champaign,IA,64064,RETAIL,1611359256,9906779,(663) 460-5351,N,N,Y
4189,PHR004189,Walgreens #1477,Walgreens,5906 Maple St,Peoria,KY,67503,RETAIL,1645382272,6599219,(254) 551-5466,N,N,Y
4190,PHR004190,Meijer #905,Meijer,6367 Maple St,Springfield,IN,64103,RETAIL,1737855436,5629265,(742) 722-9087,N,N,Y
4191,PHR004191,Publix #917,Publix,4178 Main St,Naperville,IN,61870,SPECIALTY,1717649055,5465729,(444) 167-9718,N,N,Y
4192,PHR004192,Walgreens #3810,Walgreens,6728 Maple Ave,Naperville,OH,64602,RETAIL,1842689810,5500772,(707) 310-3802,N,N,Y
4193,PHR004193,Walmart #4818,Walmart,9869 Elm Rd,Chicago,MI,62544,RETAIL,1852125249,8998677,(956) 412-4909,N,N,Y
4194,PHR004194,Rite Aid #1237,Rite Aid,2830 Oak Ave,Champaign,MI,63323,HOSPITAL,1815145748,8962478,(638) 442-1341,N,N,Y
4195,PHR004195,Rite Aid #1361,Rite Aid,2897 Main Rd,Joliet,OH,68763,RETAIL,1624316008,5152535,(683) 212-1740,N,N,Y
4196,PHR004196,CVS #4862,CVS,3840 Oak St,Naperville,TN,62638,RETAIL,1890474196,6631731,(663) 602-6747,N,N,Y
4197,PHR004197,Kroger #4253,Kroger,6068 Maple St,Joliet,IA,65933,RETAIL,1656016860,9126125,(315) 376-9508,N,N,Y
4198,PHR004198,CVS #6822,CVS,3708 Oak Ave,Champaign,WI,61506,RETAIL,1895656039,8226291,(568) 311-2462,N,N,Y
4199,PHR004199,Walmart #1868,Walmart,4587 Maple Rd,Peoria,MN,65346,SPECIALTY,1474569525,6556541,(600) 703-7836,N,N,Y
4200,PHR004200,Kroger #3222,Kroger,773 Elm Rd,Naperville,OH,68101,MAIL_ORDER,1708449151,6821657,(495) 212-1136,N,N,Y
